Studienname,Uni/Hochschule,Stadt,Master-Info
Maschinenbautechnik,RWTH Rheinisch-Westfälische Technische Hochschule Aachen, Aachen,Master of Education - Lehramt an Berufskollegs | 4 Semester (Vollzeit) | Lehramt
Maschinenbautechnik,Universität Siegen, Siegen,Teil des Lehramts Berufskolleg | 4 Semester (Vollzeit) | Lehramt
Maschinenbautechnik (Berufsbildung),Technische Universität Dortmund, Dortmund,Master of Education für Lehramt | 4 Semester (Vollzeit) | Lehramt
Maschinenbautechnik (Lehramt Berufskolleg),Technische Universität Dortmund, Dortmund,Master of Education für Lehramt | 4 Semester (Vollzeit) | Lehramt
Maschinenbautechnik (Lehramt BK),Universität Paderborn, Paderborn,Master of Education | 4 Semester (Vollzeit) | Lehramt
Maschinenbautechnik berufsbegleitend,Fachhochschule Münster, Münster | Steinfurt,Master of Education (Lehramt an Berufskollegs) | 6 Semester (berufsbegleitend) | Lehramt
Maschinenbautechnik in Verbindung mit einer kleinen beruflichen Fachrichtung (Lehramt BK),Universität Paderborn, Paderborn,Master of Education | 4 Semester (Vollzeit) | Lehramt
Maschinenwesen,Technische Universität München, Garching bei München,Master of Science | 4 Semester (Vollzeit)
Mechanical Engineering,Hochschule Düsseldorf, Düsseldorf,Master of Science | 3 Semester (Vollzeit)
Mechanical Engineering,Hochschule Rhein-Waal - Standort Kleve, Kleve,Master of Science | 3 Semester (Vollzeit)
Mechanical Engineering,Technische Hochschule Lübeck, Lübeck,Master of Science | 3 Semester (Vollzeit)
Mechanical Engineering,Universität Duisburg-Essen - Campus Duisburg, Duisburg,Master of Science | 4 Semester (Vollzeit)
Nachhaltige Energiesysteme im Maschinenbau,Hochschule für Angewandte Wissenschaften Hamburg (HAW), Hamburg,"Master of Science (M. Sc.) | 3 Semester (Vollzeit, Teilzeit)"
Networked Production Engineering,RWTH Rheinisch-Westfälische Technische Hochschule Aachen, Aachen,Master of Science | 4 Semester (Vollzeit)
Präzisionsmaschinenbau,HAWK Hochschule für angewandte Wissenschaft und Kunst Hildesheim/Holzminden/Göttingen, Göttingen,Master of Engineering | 4 Semester (Vollzeit)
Precision Manufacturing and Management,Hochschule Furtwangen, Villingen-Schwenningen,Master of Science | 3 Semester (berufsbegleitend)
Produktentwicklung im Maschinen- und Anlagenbau,Hochschule für angewandte Wissenschaften Kempten, Kempten,"Master of Engineering | 3 Semester (Vollzeit, Teilzeit)"
Produktentwicklung im Maschinenbau,Hochschule Ravensburg-Weingarten, Weingarten,Master of Science | 3 Semester (Vollzeit)
Produktentwicklung im Maschinenbau,Rheinland-Pfälzische Technische Universität Kaiserslautern-Landau (RPTU), Kaiserslautern,Master of Science | 3 Semester (Vollzeit)
Produktentwicklung im Maschinenbau (PRIMA),Hochschule Niederrhein, Krefeld,Master of Science | 4 Semester (Vollzeit)
"Produktentwicklung im Maschinenbau (PRIMA), Teilzeit",Hochschule Niederrhein, Krefeld,Master of Science | 6 Semester (Teilzeit)
Produktionstechnik - Maschinenbau und Verfahrenstechnik,Universität Bremen, Bremen,Master of Science | 3 oder 4 Semester (Vollzeit)
Ressourceneffizienz im Maschinenbau,Hochschule Esslingen, Esslingen am Neckar,Master of Science | 3 Semester (Vollzeit)
Robotic Systems Engineering,RWTH Rheinisch-Westfälische Technische Hochschule Aachen, Aachen,Master of Science | 4 Semester (Vollzeit)
Sports Engineering,Technische Universität Chemnitz, Chemnitz,Master of Science | 4 Semester (Vollzeit)
Systems Engineering und Management - Mechanical Engineering,Technische Hochschule Ulm, Ulm,Master of Engineering (M. Eng.) | 3 Semester (Vollzeit)
Systemtechnik,Hochschule Ruhr West, Mülheim an der Ruhr,Master of Science | 3 Semester (Vollzeit)
Technische Entwicklung im Maschinenbau,Technische Hochschule Ingolstadt, Ingolstadt,"Master of Engineering | 3 Semester (Vollzeit, dual)"
Textile Strukturen und Technologien,Technische Universität Chemnitz, Chemnitz,Master of Science | 4 Semester (Vollzeit)
Theoretischer Maschinenbau,Technische Universität Hamburg (TUHH), Hamburg,Master of Science | 4 Semester (Vollzeit)
Verbundstudiengang Maschinenbau,Fachhochschule Südwestfalen, Iserlohn | Lüdenscheid | Meschede,Master of Engineering | 6 Semester (berufsbegleitend)
Werkstofftechnik im Maschinenbau,Technische Hochschule Ingolstadt, Ingolstadt,"Master of Engineering | 3 Semester (Vollzeit, dual)"
Wertschöpfungsmanagement im Maschinenbau,Hochschule Hannover, Hannover,Master of Engineering | 3 Semester (dual)
Wirtschaftsingenieur Maschinenbau,Otto-von-Guericke-Universität Magdeburg, Magdeburg,Master of Science | 3 Semester (Vollzeit)
Wirtschaftsingenieurwesen / Maschinenbau,Berliner Hochschule für Technik (BHT), Berlin,Master of Science | 3 Semester (Vollzeit)
Wirtschaftsingenieurwesen Maschinenbau,Hochschule für angewandte Wissenschaften Kempten, Kempten,"Master of Engineering | 3 Semester (Vollzeit, Teilzeit)"
Wirtschaftsingenieurwesen Maschinenbau,Technische Universität Braunschweig, Braunschweig,Master of Science | 4 Semester (Vollzeit)
Wirtschaftsingenieurwesen Maschinenbau/Energietechnik,"Hochschule für Technik, Wirtschaft und Kultur Leipzig", Leipzig,Master of Science | 4 Semester (Vollzeit)
Wirtschaftsingenieurwesen mit der Fachrichtung Maschinenbau,RWTH Rheinisch-Westfälische Technische Hochschule Aachen, Aachen,Master of Science | 4 Semester (Vollzeit)
Wirtschaftsingenieurwesen mit Vertiefung Maschinenbau,"Hochschule Konstanz Technik, Wirtschaft und Gestaltung", Konstanz,Master of Engineering (M. Eng.) | 3 Semester (Vollzeit)
Wirtschaftsingenieurwesen technische Fachrichtung Maschinenbau,Technische Universität Darmstadt, Darmstadt,Master of Science | 4 Semester (Vollzeit)
"Wirtschaftsingenieurwesen, Fachrichtung Maschinenbau",Rheinland-Pfälzische Technische Universität Kaiserslautern-Landau (RPTU), Kaiserslautern,Master of Science | 3 Semester (Vollzeit)
"Wirtschaftsingenieurwesen, Studienrichtung Maschinenbau",Universität Paderborn, Paderborn,Master of Science | 4 Semester (Vollzeit)
